Date/Time,RELATION_12765478_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/07  23:00:00,40597282.9314612,40692885.35087028,40861535.06858769,41205858.8932774,43658417.3367261,73298683.00935218 
 01/07  24:00:00,40832531.979344286,40938206.00755459,41107662.702330135,41453006.61222028,43920815.63231335,73794003.75450659 
 01/08  01:00:00,41363971.14268058,41484481.18402541,41655632.16548069,42002763.30654472,44492982.758636765,74768181.99985261 
 01/08  02:00:00,41794147.86922005,41932300.56260958,42105537.474590376,42454740.24179645,44967835.11878932,75612188.05379927 
 01/08  03:00:00,41972928.780256316,42119657.063752085,42293577.05854802,42643849.34850113,45171663.806015246,76017176.90334171 
 01/08  04:00:00,43191233.982538775,43376049.50283229,43556804.46108125,43913006.3886747,46488265.892032094,78160917.19289361 
 01/08  05:00:00,44672432.360972434,44910497.68356879,45102035.9722895,45466597.97819233,48096305.365121566,80742192.79630503 
 01/08  06:00:00,45336651.49405447,45610283.87274533,45809159.749636084,46179053.57209471,48838605.944025,81919392.7859327 
 01/08  07:00:00,45635441.635153115,45930519.26702315,46133174.67273976,46505857.814572245,49184048.428085975,82484288.16549496 
 01/08  08:00:00,46227413.92554024,46514580.87157265,46702200.79325785,47068358.92296309,49805578.10989316,84296846.16523218 
 01/08  09:00:00,46639702.1922726,46921718.71160958,47096859.53746725,47458373.72371568,50247915.28317161,85722730.18324044 
 01/08  10:00:00,46005931.95990329,46338593.45973463,46543868.59343318,46923221.90594002,49693612.572016664,84327798.98691392 
 01/08  11:00:00,42512239.15225507,43036588.59213518,43414250.618572816,43895387.62077686,46474950.30830004,75747187.5500256 
 01/08  12:00:00,36516956.88102266,37165142.11477068,37723108.14511378,38305824.64532048,40556512.64637491,62400644.58020034 
 01/08  13:00:00,33843955.5842694,34525239.82454854,35137158.544584654,35741400.753368504,37835395.051174365,56621154.31284215 
 01/08  14:00:00,32680334.582997985,33373437.966881253,34023303.95165603,34644939.85777831,36649804.171447,54326692.79188603 
 01/08  15:00:00,30819752.866759658,31505019.87441642,32213516.018666133,32870665.890235305,34784473.22332004,50898175.772671066 
 01/08  16:00:00,29501139.426360264,30150195.185387254,30905066.981726926,31599432.796754386,33549953.14050421,50307358.384152055 
 01/08  17:00:00,27381423.55074959,28009544.766370304,28855925.221525274,29626002.313517876,31691332.2369627,49907511.43757178 
 01/08  18:00:00,29780562.262968242,30297917.749581248,31030226.8055365,31743726.9464257,34004727.904734746,57101647.376568325 
 01/08  19:00:00,39369335.72677168,39358103.452231936,39646766.04859317,40082927.83307692,42562285.45322593,73469071.80233236 
 01/08  20:00:00,41632409.94040778,41659529.759193115,41923309.82769962,42351144.26301083,44981693.87114701,78537250.78863473 
 01/08  21:00:00,42898573.49191323,42949845.3940788,43190992.84345883,43609533.56651755,46338210.63894112,81403179.51510434 
 01/08  22:00:00,43843348.21278249,43921483.04411762,44145376.49548701,44556061.141680785,47351538.94450345,83285358.49557914 
