cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.05.Gen.ReEx.001.001__f030,ES.ME.AB.05.Gen.ReEx.001.001,es,0.3,2,ATTEMPTED,True,COMPLETED,0,0,0,118600.47922193602,3.616,True,False,False,03aef6a5959929c60123e99b3a4fa79bc0e301f031041192e9101a720e19217f,
es__ES.ME.AB.05.Gen.ReEx.001.001__f030,ES.ME.AB.05.Gen.ReEx.001.001,es,0.3,3,ATTEMPTED,True,COMPLETED,0,0,0,118600.47922193602,3.872,True,False,False,6838c7bbad3f989702561180352f73511300bf7a46f36a54ba976f3b009cf44f,
es__ES.ME.AB.05.Gen.ReEx.001.001__f050,ES.ME.AB.05.Gen.ReEx.001.001,es,0.5,1,ATTEMPTED,True,COMPLETED,0,0,0,118393.72703576321,4.308,True,False,False,c1c60e8ea88b16190a8b974ab9d4e9bfa18a1084990e820058fe541704148b18,
es__ES.ME.AB.05.Gen.ReEx.001.001__f050,ES.ME.AB.05.Gen.ReEx.001.001,es,0.5,2,ATTEMPTED,True,COMPLETED,0,0,0,118587.96405518925,4.345,True,False,False,b1ce755bfcc27069107d14499ca56e46fff381b716adf0e9090c5c81f9971c20,
es__ES.ME.AB.05.Gen.ReEx.001.001__f050,ES.ME.AB.05.Gen.ReEx.001.001,es,0.5,3,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.47,False,False,False,a9bb4c137b67faa263c0b2e8683ccfd49041d9100b43423152bd250e88b6fdd8,
es__ES.ME.AB.05.Gen.ReEx.001.001__f100,ES.ME.AB.05.Gen.ReEx.001.001,es,1.0,1,ATTEMPTED,True,COMPLETED,0,0,0,118583.67446246721,4.486,True,False,False,1bda7bfb71a96a14fa2fb411f3d2ef5ac7c150ec76c332d18944435325549fd9,
es__ES.ME.AB.05.Gen.ReEx.001.001__f100,ES.ME.AB.05.Gen.ReEx.001.001,es,1.0,2,ATTEMPTED,True,COMPLETED,0,0,0,118583.67446246721,4.487,True,False,False,97fdee0beb4e9aa069d93f21cda21b9dc5bbece261c54d48ad4d4b429af58a21,
es__ES.ME.AB.05.Gen.ReEx.001.001__f100,ES.ME.AB.05.Gen.ReEx.001.001,es,1.0,3,ATTEMPTED,True,COMPLETED,0,0,0,118583.67446246721,4.418,True,False,False,1ee0659b7d0870f12e53320b32183ab713bb6755b27be82f2745335e9ae75b2f,
es__ES.ME.AB.06.Gen.ReEx.001.001__f000,ES.ME.AB.06.Gen.ReEx.001.001,es,0.0,1,ATTEMPTED,True,COMPLETED,0,0,0,1760354.2698609754,4.63,True,False,False,4abd9491a28330b0c782c9d96d34f2470a354ad4ccff698958c26fef9dbf409f,
es__ES.ME.AB.06.Gen.ReEx.001.001__f000,ES.ME.AB.06.Gen.ReEx.001.001,es,0.0,2,ATTEMPTED,True,COMPLETED,0,0,0,1760354.2698609754,4.721,True,False,False,1c8189ae9b9c290d26ea03d96f34a3bdcae30dee7851fa484564b49d47cfcd80,
