Date/Time,BATIMENT0000000357175643_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 11/12  20:00:00,764764.5939410672,714355.9981457817,1137823.458842309 
 11/12  21:00:00,866201.1768617966,814729.9529173252,1239122.0258276872 
 11/12  22:00:00,863855.1781367476,816212.799576168,1255557.5914724884 
 11/12  23:00:00,856897.5680996468,810493.2075745361,1251016.909830089 
 11/12  24:00:00,902279.2591379738,857688.1469712019,1311808.2628015282 
 11/13  01:00:00,943979.7770581739,900790.0974460107,1368974.3688813595 
 11/13  02:00:00,1002321.5357305744,957610.4193664354,1420092.4380330518 
 11/13  03:00:00,1063199.6088855988,1015930.0808532636,1465241.8215736214 
 11/13  04:00:00,1067451.499558377,1020591.6063286321,1469217.9501093756 
 11/13  05:00:00,1036898.6777520534,993271.1682358291,1455918.5483790012 
 11/13  06:00:00,1000286.6628644379,960503.8492426117,1443447.4557057198 
 11/13  07:00:00,993033.6118958024,954044.4654662744,1438895.7838997412 
 11/13  08:00:00,993445.605765681,955051.7608541856,1441126.0048699076 
 11/13  09:00:00,980640.399915776,941821.2296407894,1423120.4479621137 
 11/13  10:00:00,898936.8464898979,854436.99604113,1308775.0560559975 
 11/13  11:00:00,703057.4506698744,644826.9960492464,1038394.2653153753 
 11/13  12:00:00,568353.4090187518,498190.9116975819,852926.8037337963 
 11/13  13:00:00,544774.2496443854,484012.87292541825,842950.7231741068 
 11/13  14:00:00,477702.71005987097,415895.5939420165,752395.792911238 
 11/13  15:00:00,396171.03262834356,327201.4017440139,619554.4384146816 
 11/13  16:00:00,380933.2039543238,316217.9895184294,600301.1947018933 
 11/13  17:00:00,403703.85388863075,346146.94545542664,660224.7320575023 
 11/13  18:00:00,423119.1999520423,373812.75189626904,719937.6001853975 
 11/13  19:00:00,414657.29017689603,366404.3565886277,712694.334352771 
 11/13  20:00:00,374259.1025514695,327008.82433283917,667254.4989214927 
 11/13  21:00:00,323092.11471692985,276406.67668538156,606815.5237146865 
 11/13  22:00:00,275119.7924026863,229020.43227687827,550887.7602763693 
 11/13  23:00:00,228707.72356531597,182902.64210643584,494166.9647107847 
 11/13  24:00:00,179783.06390886355,134094.72431867543,433286.1562565894 
 11/14  01:00:00,186598.959921216,140302.17259821147,438323.08375156426 
 11/14  02:00:00,324968.4794375914,275184.34020511125,595989.4364923479 
 11/14  03:00:00,277364.3049562801,231364.72142876228,561232.8342656038 
 11/14  04:00:00,200337.73196801048,157080.25391608317,477806.6176155808 
 11/14  05:00:00,194839.20199268614,149636.70801890694,443887.8892189016 
 11/14  06:00:00,216654.18399229384,171699.23300395167,471968.40496932785 
 11/14  07:00:00,267176.6463600805,222822.0875650892,538588.7881537958 
 11/14  08:00:00,335232.2032914323,291842.23347388685,630847.1974868174 
 11/14  09:00:00,475405.47764470836,426776.705194523,758713.1311810503 
 11/14  10:00:00,552029.4368823793,503126.5742899123,841007.9238570039 
 11/14  11:00:00,558949.1337874519,508360.8530792445,849785.0211286133 
 11/14  12:00:00,426713.3383540284,362540.6084449773,714998.4938778834 
 11/14  13:00:00,277786.41094266356,199674.2672782806,512523.3276943909 
 11/14  14:00:00,111507.19190702439,48899.76198828081,316945.9859819537 
 11/14  15:00:00,66862.91684101598,11578.6999158212,265878.07559490757 
 11/14  16:00:00,67476.79582446508,10872.689980181894,265685.2099983909 
 11/14  17:00:00,125266.83551274546,68630.427568085,324728.71296520974 
 11/14  18:00:00,267316.37957630225,211276.789242142,482565.14905152586 
 11/14  19:00:00,385572.9975272771,339233.324969736,715503.090430313 
 11/14  20:00:00,458949.81069853745,416372.15967869636,839615.1204930955 
 11/14  21:00:00,525444.5019776621,482245.6278187347,902015.002976497 
 11/14  22:00:00,585291.9997196783,549134.6193207508,1059752.2001989617 
 11/14  23:00:00,694189.5076663233,664630.9760999619,1263334.2283367333 
 11/14  24:00:00,809110.9488309806,780254.0742750688,1394506.3990922659 
 11/15  01:00:00,922306.8540184716,894104.4859694783,1524747.0764800159 
 11/15  02:00:00,1060940.7356638776,1035187.2097976994,1707821.6797968552 
 11/15  03:00:00,1191257.6198419384,1167587.9632748002,1876588.5406139593 
 11/15  04:00:00,1324890.8091515615,1303040.7887242998,2046444.1780695633 
 11/15  05:00:00,1413848.4765755115,1392715.2608380269,2150377.674268724 
 11/15  06:00:00,1425412.0081073097,1405431.6106477994,2173361.8960879752 
 11/15  07:00:00,1476677.712167546,1458257.5719713178,2243772.078742189 
 11/15  08:00:00,1551831.7378154106,1535455.722490643,2350762.0831522564 
 11/15  09:00:00,1615298.2850970128,1599190.6383595506,2447428.0056105945 
 11/15  10:00:00,1452489.9840056126,1419995.9106789804,2211866.6272199424 
 11/15  11:00:00,1099715.9993362913,1027577.5085417132,1689448.8395699302 
 11/15  12:00:00,827581.0980166877,706330.9764060279,1288008.2135295926 
 11/15  13:00:00,649793.8343690039,467949.10384352336,935507.7049845378 
 11/15  14:00:00,519042.0461321352,325657.88302152144,678918.8390976205 
 11/15  15:00:00,446822.4280197079,310597.5729730141,546442.5502355044 
 11/15  16:00:00,445542.7576216848,366850.23427895724,559643.833458941 
 11/15  17:00:00,544603.1072695157,478054.3408759616,846448.58941196 
 11/15  18:00:00,762048.3234992201,713457.2024458817,1359883.2785534754 
 11/15  19:00:00,1034265.530441922,992816.027759538,1720032.348774338 
 11/15  20:00:00,1341779.7265532282,1305243.1613216724,2098544.6210693005 
 11/15  21:00:00,1570504.9825074123,1531762.334061887,2290201.530069512 
 11/15  22:00:00,1697767.7329973239,1658709.6250794004,2407129.2167140944 
 11/15  23:00:00,1727197.2755896687,1691947.5372415807,2468188.2723864373 
 11/15  24:00:00,1926091.8169310682,1896125.2079225217,2736971.1405066913 
 11/16  01:00:00,2087212.6729986663,2060732.8090738314,2941553.106662265 
 11/16  02:00:00,2052470.8631224125,2025210.2939330242,2870431.925926367 
 11/16  03:00:00,2049625.4046842824,2023036.4422260718,2853633.9884396465 
 11/16  04:00:00,2102601.451291255,2079540.8261256032,2944204.1099248496 
 11/16  05:00:00,2238152.1519731777,2218702.613051468,3130435.184083432 
 11/16  06:00:00,2299456.783202127,2280131.3442788175,3183817.467094344 
 11/16  07:00:00,2244214.101128806,2224394.220631101,3103876.592673652 
 11/16  08:00:00,2136446.882269942,2117139.009433552,2975435.6487240805 
 11/16  09:00:00,2072339.1624003134,2051753.7093809552,2891206.947117512 
 11/16  10:00:00,1993628.4086152692,1966273.795433478,2762904.810586757 
 11/16  11:00:00,1834356.6035500758,1803938.5296982946,2541647.4044408994 
 11/16  12:00:00,1606839.206603304,1560807.0055376622,2215164.7672610804 
 11/16  13:00:00,1244535.8735298673,1161564.5585294508,1693129.8801778862 
 11/16  14:00:00,835258.5666582548,736312.254167736,1156213.5834427844 
 11/16  15:00:00,498231.4442789764,409789.534716231,628227.3228165229 
 11/16  16:00:00,377881.25497472874,332807.4328817326,503276.8466278518 
 11/16  17:00:00,430280.16483250837,385049.2824224013,669417.8735443747 
 11/16  18:00:00,591859.3990396571,551038.3649105076,982550.5221069492 
 11/16  19:00:00,714552.3855059838,675179.608071864,1131009.406674289 
 11/16  20:00:00,748816.1116722935,710028.4673921459,1170732.3995829313 
 11/16  21:00:00,747821.6194783832,711388.2741516595,1192966.12255757 
 11/16  22:00:00,717015.4605337129,682331.0814710996,1172697.833510449 
 11/16  23:00:00,681930.8201759676,647631.8663042278,1132867.1438847566 
 11/16  24:00:00,708366.9994950171,674746.6474067639,1167512.9744855063 
 11/17  01:00:00,776298.0110383716,743642.7288732601,1256556.0830783197 
 11/17  02:00:00,877739.7627434521,846580.2625099882,1389411.4867669784 
 11/17  03:00:00,1013487.7487190738,981715.9457853348,1532623.5094631063 
 11/17  04:00:00,1143834.16400477,1113154.4017336448,1695153.37839317 
 11/17  05:00:00,1292309.7708105955,1263853.9107664176,1891976.1068041562 
 11/17  06:00:00,1451797.177735118,1428182.0716033727,2136636.127592786 
 11/17  07:00:00,1604444.689984053,1584491.1362842927,2354559.306324697 
 11/17  08:00:00,1734002.4755043439,1715176.331707281,2514531.053223104 
