building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
way/389587832,24,2,collinear,179.910667,1.08376104,Y,N
way/311159685,48,0,,,,,
way/311159688,63,0,,,,,
way/311159689,104,0,,,,,
way/311159690,12,0,,,,,
way/311159691,18,0,,,,,
way/311159692,40,0,,,,,
way/311161162,64,0,,,,,
way/311161163,111,0,,,,,
way/322742263,28,0,,,,,
way/322742264,28,0,,,,,
way/322742265,70,0,,,,,
way/333138109,14,2,collinear,179.992874,2.11797002,Y,N
way/333138111,80,10,collinear,179.979259,13.21999096,Y,N
way/333138113,105,14,collinear,179.970954,17.40416401,Y,N
way/333138116,48,6,collinear,179.921082,0.54175456,Y,N
way/333138121,18,0,,,,,
way/389587833,24,2,collinear,179.950304,5.81376238,Y,N
way/389587834,12,2,collinear,179.93216,3.89032197,Y,N
way/389587835,14,2,collinear,179.968321,8.76529389,Y,N
way/391270217,12,0,,,,,
way/391270218,18,0,,,,,
way/391270219,44,0,,,,,
way/391270220,40,0,,,,,
way/391270221,120,8,collinear,179.969505,13.14242539,Y,N
way/333138136,80,0,,,,,
way/340701289,38,4,collinear,179.942683,1.04785161,Y,N
way/340701293,6,0,,,,,
way/380242656,66,0,,,,,
way/380242657,90,12,collinear,179.997493,4.10092343,Y,N
way/380242658,45,0,,,,,
way/380242662,30,0,,,,,
way/380242663,8,0,,,,,
way/311162662,42,0,,,,,
way/311162663,49,0,,,,,
way/311168052,48,0,,,,,
way/311431848,15,2,collinear,179.962131,4.0081603,Y,N
way/311431849,16,0,,,,,
way/311431851,54,0,,,,,
way/311431852,214,0,,,,,
way/311431853,48,0,,,,,
way/322742247,63,0,,,,,
way/322742249,56,0,,,,,
way/322742251,60,0,,,,,
way/322742254,15,2,collinear,179.980122,5.89629757,Y,N
way/322742256,45,0,,,,,
way/322742257,144,0,,,,,
way/322742258,85,0,,,,,
way/322742259,54,0,,,,,
way/311586300,35,0,,,,,
way/311595043,56,0,,,,,
way/311595045,76,0,,,,,
way/311595048,119,0,,,,,
way/311602374,40,0,,,,,
way/311968161,50,0,,,,,
way/311968162,115,0,,,,,
way/311968163,55,10,collinear,179.966016,0.86469648,Y,N
way/391279229,72,0,,,,,
way/391279232,7,2,collinear,179.95088,5.34382906,Y,N
way/391279233,28,0,,,,,
way/391279234,7,0,,,,,
way/391279235,9,2,collinear,179.980085,3.42272318,Y,N
way/391279236,9,2,collinear,179.972956,3.02748163,Y,N
way/391279239,16,0,,,,,
way/391662735,48,0,,,,,
way/388485182,56,0,,,,,
way/388485183,31,0,,,,,
way/388485186,42,0,,,,,
way/388485189,24,0,,,,,
way/388485191,235,0,,,,,
way/388485193,16,0,,,,,
way/388485194,56,0,,,,,
way/388485196,63,0,,,,,
way/391270222,190,0,,,,,
way/391270224,44,0,,,,,
way/391275429,24,0,,,,,
way/391275430,18,0,,,,,
way/391275431,40,0,,,,,
way/391275432,32,0,,,,,
way/391275433,86,0,,,,,
way/391275434,77,0,,,,,
way/391275435,67,0,,,,,
way/391276755,62,0,,,,,
way/391276756,32,0,,,,,
way/391276757,24,0,,,,,
way/391276758,70,0,,,,,
way/391276759,48,0,,,,,
way/391276760,53,0,,,,,
way/391276761,62,0,,,,,
way/403642597,58,0,,,,,
way/403855649,63,0,,,,,
way/403855650,24,0,,,,,
way/403855651,24,0,,,,,
way/403855653,36,0,,,,,
way/403855654,30,0,,,,,
way/403856092,111,2,collinear,179.950172,3.62924675,Y,N
way/403856093,24,0,,,,,
way/400445219,39,0,,,,,
way/400445221,80,0,,,,,
way/400445225,36,0,,,,,
way/400994134,7,2,collinear,179.953536,4.44019876,Y,N
way/403642583,10,2,collinear,179.977059,4.29458566,Y,N
way/403642584,30,4,collinear,179.926946,11.68425629,Y,N
way/403642585,54,0,,,,,
way/403642586,57,6,collinear,179.948224,2.75663073,Y,N
