cell,stem,status,n_converge_warnings,n_vol_stub,n_temp_out_of_bounds,completed,n_severe_lines,bytes
nyc_centre,way_266010263,success,0,8,0,True,0,16921
nyc_centre,way_266010265,success,0,4,0,True,0,14187
nyc_centre,way_266010267,success,0,7,0,True,0,20280
nyc_centre,way_266010271,success,0,8,0,True,0,19831
nyc_centre,way_266010273,success,0,9,0,True,0,13308
nyc_centre,way_266010278,success,0,5,0,True,0,9998
nyc_centre,way_266010285,success,0,23,0,True,0,23941
nyc_centre,way_266010295,success,0,102,0,True,0,86919
nyc_centre,way_266010300,success,0,6,0,True,0,12031
nyc_centre,way_266010313,success,0,8,0,True,0,20903
nyc_centre,way_266010324,success,0,7,0,True,0,12821
nyc_centre,way_266010333,success,0,1,0,True,0,8153
nyc_centre,way_266010335,success,0,6,0,True,0,10944
nyc_centre,way_266010341,success,0,96,0,True,0,141729
nyc_centre,way_266010344,success,0,1,0,True,0,8152
nyc_centre,way_266010352,success,0,16,0,True,0,18868
nyc_centre,way_266010353,success,0,22,0,True,0,23314
nyc_centre,way_266010354,success,0,8,0,True,0,12518
nyc_centre,way_266010376,success,0,4,0,True,0,12940
nyc_centre,way_266010396,success,0,1,0,True,0,8148
nyc_centre,way_266010410,success,0,10,0,True,0,14098
nyc_centre,way_266010414,success,0,1,0,True,0,7979
nyc_centre,way_266010420,success,0,1,0,True,0,8148
nyc_centre,way_266010429,success,0,1,0,True,0,8146
nyc_centre,way_266010432,success,0,114,0,True,0,96143
nyc_centre,way_266010434,success,0,54,0,True,0,48877
nyc_centre,way_266010436,success,0,1,0,True,0,8147
nyc_centre,way_266010439,success,0,1,0,True,0,8148
nyc_centre,way_266010444,success,0,10,0,True,0,13668
nyc_centre,way_266010446,success,0,1,0,True,0,8156
nyc_centre,way_266025012,success,0,1,0,True,0,7986
nyc_centre,way_266033991,success,0,8,0,True,0,12676
nyc_centre,way_266033999,success,0,36,0,True,0,34508
nyc_centre,way_266034001,success,0,7,0,True,0,17627
nyc_centre,way_266034003,success,0,136,0,True,0,114432
nyc_centre,way_266034043,success,0,4,0,True,0,12937
nyc_centre,way_266034044,success,0,5,0,True,0,12484
nyc_centre,way_266034045,success,0,1,0,True,0,8148
nyc_centre,way_266034046,success,0,24,0,True,0,25396
nyc_centre,way_266034047,success,0,7,0,True,0,11425
nyc_centre,way_266034048,success,0,8,0,True,0,21073
nyc_centre,way_266034049,success,0,17,0,True,0,19495
nyc_centre,way_266034050,success,0,56,0,True,0,50533
nyc_centre,way_266034053,success,0,6,0,True,0,12696
nyc_centre,way_266034054,success,0,24,0,True,0,24919
nyc_centre,way_266034056,success,0,1,0,True,0,8284
nyc_centre,way_266034058,success,0,12,0,True,0,17944
nyc_centre,way_266034059,success,0,28,0,True,0,28198
nyc_centre,way_266034060,success,0,76,0,True,0,66408
nyc_centre,way_266034071,success,0,40,0,True,0,37384
nyc_centre,way_266034074,success,0,96,0,True,0,81830
nyc_centre,way_266034077,success,0,42,0,True,0,39529
nyc_centre,way_266034080,success,0,49,0,True,0,45406
nyc_centre,way_266143298,success,0,10,0,True,0,13930
nyc_centre,way_266143299,success,0,28,0,True,0,28212
nyc_centre,way_266143301,success,0,6,0,True,0,17003
nyc_centre,way_266143302,success,0,17,0,True,0,19663
nyc_centre,way_266143303,success,0,20,0,True,0,21796
nyc_centre,way_266143304,success,0,10,0,True,0,14098
nyc_centre,way_266143305,success,0,7,0,True,0,17793
nyc_centre,way_266143306,success,0,16,0,True,0,18868
nyc_centre,way_266143307,success,0,4,0,True,0,11695
nyc_centre,way_266143308,success,0,1,0,True,0,8154
nyc_centre,way_266143309,success,0,30,0,True,0,30385
nyc_centre,way_266143310,success,0,84,0,True,0,72647
nyc_centre,way_266143311,success,0,90,0,True,0,77917
nyc_centre,way_266143312,success,0,4,0,True,0,14024
nyc_centre,way_266143313,success,0,68,0,True,0,59894
nyc_centre,way_266143314,success,0,16,0,True,0,18700
nyc_centre,way_266143315,success,0,76,0,True,0,65858
nyc_centre,way_266143321,success,0,7,0,True,0,11728
nyc_centre,way_266143323,success,0,4,0,True,0,12937
nyc_centre,way_266143324,success,0,64,0,True,0,56809
nyc_centre,way_266143337,success,0,7,0,True,0,11766
nyc_centre,way_266143341,success,0,1,0,True,0,7980
nyc_centre,way_266143344,success,0,11,0,True,0,14632
nyc_centre,way_266143345,success,0,26,0,True,0,27014
nyc_centre,way_266143346,success,0,4,0,True,0,11695
nyc_centre,way_266143348,success,0,31,0,True,0,30630
nyc_centre,way_266143351,success,0,12,0,True,0,19194
nyc_centre,way_266143354,success,0,27,0,True,0,27476
nyc_centre,way_266143355,success,0,23,0,True,0,24109
nyc_centre,way_266143358,success,0,1,0,True,0,8148
nyc_centre,way_266143359,success,0,64,0,True,0,56942
nyc_centre,way_266143361,success,0,1,0,True,0,7977
nyc_centre,way_266149298,success,0,6,0,True,0,11262
nyc_centre,way_266149299,success,0,6,0,True,0,11889
nyc_centre,way_266149300,success,0,6,0,True,0,12664
nyc_centre,way_266149302,success,0,6,0,True,0,11262
nyc_centre,way_266149304,success,0,6,0,True,0,15713
nyc_centre,way_266149305,success,0,6,0,True,0,11863
nyc_centre,way_266149306,success,0,4,0,True,0,14017
nyc_centre,way_266149307,success,0,5,0,True,0,9830
nyc_centre,way_266149308,success,0,12,0,True,0,15688
nyc_centre,way_266149309,success,0,32,0,True,0,30838
nyc_centre,way_266149315,success,0,28,0,True,0,28212
