cell,osm_id,archetype_id,use_class,base_storeys_geometry_fallback,treated_storeys_archetype_fallback,recovered_lev_src,archetype_consumed_group_median_today,genuine_disagreement,eligible_for_intervention,tier,footprint_area_m2,on_record_total_eui_kwh_m2
austin_centre,way/328649889,Courthouse,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,661.6840644860317,141.2533922905672
austin_centre,way/328707704,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,592.2339717814324,131.57172381451494
austin_centre,way/328723692,LargeHotel,commercial,1,5,GROUPMEDIAN_LEVELS_MED,True,True,False,1,6634.517426672189,313.967097995212
austin_centre,way/379166187,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,36.21060873935758,157.61106344667598
austin_centre,way/379166225,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,32.19473765775941,155.76037772022508
austin_centre,way/379166282,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,31.741682057961505,172.77131436463176
austin_centre,way/516276237,HighriseApartment,residential,1,45,GROUPMEDIAN_LEVELS_MED,True,True,False,0,720.3209868883853,104.77548200972817
austin_centre,way/516282872,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1240.1053374498674,116.55727082662256
austin_centre,way/516282876,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,568.01429576619,125.34319821580377
austin_centre,way/516285440,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,2399.1137657783643,108.47236715393878
austin_centre,way/516285444,SecondarySchool,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,195.19738535282474,226.3696581024017
austin_centre,way/516285445,SecondarySchool,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,816.7547496743947,202.8841000070642
austin_centre,way/516285449,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,2450.860451063544,113.0053262845298
austin_centre,way/516286383,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,2295.610875797348,108.5069717390764
austin_centre,way/516286384,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1455.4690663661538,115.13241435770738
austin_centre,way/516286386,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,634.0585956711685,127.19820930958257
austin_centre,way/516286387,SmallOffice,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,191.10177894536326,100.53882098185832
austin_centre,way/516286388,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1623.9794641948051,116.27639772539314
austin_centre,way/516289338,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1270.9412113539909,114.78774003813898
austin_centre,way/584933755,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,117.20755038303682,115.17243437003012
austin_centre,way/772280775,FullServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,556.5203692935493,1045.253097965986
austin_centre,way/772281126,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,160.58526400229852,1610.3294321886297
austin_centre,way/849984849,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,46.369828048461656,146.3954599158364
austin_centre,way/923358549,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1206.8110779637175,116.85148813306354
austin_centre,way/927242882,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,3081.220161338829,107.61234002710816
austin_centre,way/929863362,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,643.9405830248487,126.59256731939168
austin_centre,way/929864020,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,683.3787926068785,132.03989918538403
austin_centre,way/929865592,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,534.0169026472719,127.9498255510979
austin_centre,way/929944788,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,2100.937883369368,110.135079162198
austin_centre,way/967757080,FullServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1011.1990666783764,951.8375031968365
austin_centre,way/972423381,OpenUBEMUnknown,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,35.84877049324741,607.0977199346565
austin_centre,way/1008727466,OpenUBEMUnknown,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,82.13417010965144,364.1064880298046
austin_centre,way/1008727467,OpenUBEMUnknown,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,95.96703539355182,327.8916723314099
