osm_id,year_built,data_quality_flag,run2_archetype,head_vintage,head_vintage_tier,e02_vintage,e02_archetype,cell
way/265301954,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301955,,"generic_tag,no_floors,no_function,no_height,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301956,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301958,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301959,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265301960,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301962,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301964,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301968,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265301969,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
