cell,column,osm_id,stage2_value,committed_value
la_centre,data_quality_flag,way/428015124,"generic_tag,no_floors,no_year|GROUPMODE_MED","generic_tag,no_floors,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/428015126,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/428015132,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/428015185,"generic_tag,no_floors,no_function","generic_tag,no_floors,no_function|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/428331963,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/495110353,"generic_tag,no_height,no_year|GROUPMODE_MED","generic_tag,no_height,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/1307601688,"generic_tag,no_year|GROUPMODE_MED","generic_tag,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,relation/6410855,"no_height,no_year|GROUPMODE_MED","no_height,no_year|GROUPMODE_MED,idf_dp_coarse"
la_urban,archetype_id,way/401904732,LargeHotel,LargeOffice
la_urban,archetype_id,way/401910463,SmallHotel,SmallOffice
la_urban,archetype_id,way/427274663,LargeHotel,MediumOffice
la_urban,archetype_id,way/428846131,SmallHotel,SmallOffice
la_urban,archetype_id,relation/6374725,SmallHotel,SmallOffice
la_urban,data_quality_flag,way/244066774,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
